Review,Rating,sentiment,label
Disgusting food 08/21/2017,3.0,Neutre,1
Off hand service with moderate food 03/25/2015,1.0,Négatif,0
Cheating on prises 07/20/2009,2.0,Négatif,0
Service a bit messed up 12/06/2017,3.5,Positif,2
Wedding drinks reception 06/03/2017,4.5,Positif,2
Convenient cafe for a quick snack. 10/08/2016,3.0,Neutre,1
Poor quality food 11/19/2016,2.0,Négatif,0
Poor quality - better anywhere else 10/19/2016,3.0,Neutre,1
Dont take aperol spritz! 09/14/2016,2.0,Négatif,0
Disappointing dinner box 11/10/2016,2.0,Négatif,0
"Nice food, but unlikely to return 02/26/2017",2.0,Négatif,0
Small and unprepossessing but great 10/14/2017,2.0,Négatif,0
Having a coffee whilst waiting for the tra... 10/06/2015,1.5,Négatif,0
Racism at it's worst! 01/10/2015,2.0,Négatif,0
"Horrible place, avoid at all cost. 01/30/2016",1.0,Négatif,0
Dissaster 11/12/2017,3.0,Neutre,1
Delicious Desserts in Krakow 09/14/2013,4.5,Positif,2
"FOOD WAS GOOD, BUT PRICES WERE WAY TO HIGH 10/26/2017",4.0,Positif,2
Pay attention on what you dress! 05/18/2014,1.5,Négatif,0
Worst Fast Food 10/06/2017,2.0,Négatif,0
Rip Off Scam! Stay Away! You have been war... 09/21/2016,1.5,Négatif,0
"Great service, good food 12/31/2017",3.0,Neutre,1
Bad service for the price 07/16/2017,2.0,Négatif,0
Great Authentic Catalan Cuisine 07/26/2017,3.5,Positif,2
Awful and expensive 09/23/2014,1.5,Négatif,0
Take care. The service here is unacceptabl... 12/16/2017,3.0,Neutre,1
Good food at a good price. 03/23/2013,2.0,Négatif,0
Food and service ok but decor needs refurb... 07/14/2015,2.0,Négatif,0
Food poisoned!!! 10/08/2017,1.0,Négatif,0
"nice decor, popular with... 02/01/2008",3.0,Neutre,1
A total rip off 01/09/2018,3.0,Neutre,1
Try the unusual 10/10/2015,3.5,Positif,2
Boring breakfast and males at the receptio... 04/07/2017,2.0,Négatif,0
Not found - closed down? 09/08/2014,1.0,Négatif,0
New Year Eve 01/03/2017,4.0,Positif,2
Best co-working space in Berlin! 10/19/2017,5.0,Positif,2
"Good food, great service and price 09/11/2017",4.0,Positif,2
Early dinner 11/13/2017,3.0,Neutre,1
AVOID! Terrible and expensive food 12/29/2016,4.0,Positif,2
Looking Japanese food but the taste is dif... 07/24/2015,2.0,Négatif,0
upmarket home delivery 02/17/2013,3.0,Neutre,1
Lost in time 05/14/2016,4.0,Positif,2
our last diner of the around the world tri... 08/20/2015,5.0,Positif,2
Traditional Swedish food in a good locatio... 05/23/2017,3.0,Neutre,1
The WORST 'FOOD' IN THE WORLD! 11/17/2016,2.0,Négatif,0
Absolutely terrible food and terrible serv... 09/10/2017,2.0,Négatif,0
CARAMEL ICECREAM AND THEIR PASTRIES WERE Y... 05/23/2017,3.0,Neutre,1
Delicious Tuscany cousin 11/26/2017,4.0,Positif,2
Pre-film lunch 07/27/2017,2.0,Négatif,0
Warmed up leftovers 03/02/2017,2.0,Négatif,0
Nice bookstore cafè in città studi 09/07/2016,4.0,Positif,2
i like pret 11/12/2017,4.0,Positif,2
Long walk for a steak 03/20/2017,3.0,Neutre,1
Luxury lunch 09/02/2016,4.0,Positif,2
A little piece of Italy in Vienna 05/12/2013,4.0,Positif,2
A reasonable option if you're looking for... 05/13/2017,3.0,Neutre,1
Awful takeaway! 01/24/2016,1.5,Négatif,0
Fair priced but not not the best 03/23/2017,3.0,Neutre,1
Panini or empanada 11/27/2012,2.0,Négatif,0
Cozy and easy 11/12/2017,3.0,Neutre,1
A good place to stop whist shopping 10/04/2014,3.0,Neutre,1
"Modern interior, almost good food, expensi... 07/14/2015",3.0,Neutre,1
Much better places around 11/09/2017,4.0,Positif,2
Great location and friendly staff 10/18/2016,4.0,Positif,2
What to say.... it's on the beach! 06/15/2017,3.0,Neutre,1
"Real food, good atmosphere 12/10/2017",3.0,Neutre,1
Nice place for an Argentinian inspired lun... 08/21/2017,3.0,Neutre,1
Lovely hotel old worlde 09/13/2016,1.5,Négatif,0
Not the usual one 05/11/2017,5.0,Positif,2
Food is good but a bit over priced 08/28/2017,4.0,Positif,2
Local place that is a gem 06/28/2016,4.5,Positif,2
1hr 30 delivery not great food 07/28/2017,1.5,Négatif,0
Regular here for lunch 07/03/2017,3.0,Neutre,1
Regular place 06/28/2016,3.0,Neutre,1
Don't ever go here 10/19/2016,3.0,Neutre,1
Italian spirit 04/25/2017,2.0,Négatif,0
Their website says: “Service is everything... 05/01/2017,3.0,Neutre,1
Should have checked TripAdvisor 04/14/2017,1.5,Négatif,0
Cosy neighborhood cafe in Munich Sendling 09/19/2017,1.5,Négatif,0
Good and fresh sushi 07/08/2015,3.0,Neutre,1
Just a call-a-pizza 06/15/2016,3.0,Neutre,1
Brilliant Tapas & Cocktails 09/20/2017,4.0,Positif,2
Stockholm sämsta tapas... 10/30/2017,2.0,Négatif,0
Cheap at half the price - other wise overp... 11/15/2017,3.0,Neutre,1
dump 03/10/2016,2.5,Positif,2
Vegan gastro cuisine secret gem. 11/15/2017,5.0,Positif,2
Nice presentation and taste! 12/31/2017,4.5,Positif,2
"Expensive, portion is small 12/05/2016",2.0,Négatif,0
The BEST Italian in London! 11/20/2017,4.5,Positif,2
Terrible poor quality of food 04/11/2017,3.0,Neutre,1
Eye for detail 11/20/2017,4.0,Positif,2
Good location McDonald's 09/26/2017,3.0,Neutre,1
Very nice restaurant with cosy summer terr... 08/22/2017,4.0,Positif,2
